t_s,gz_filt_dps,ax_filt_mms2,ay_filt_mms2,az_filt_mms2,ax_raw_mms2,ay_raw_mms2,az_raw_mms2
4.7460,9.5550,-3351.05,8318.47,-648.75,-4044.26,3301.90,-330.48
4.7560,15.3854,-3351.05,8318.47,-648.75,-70684.37,23373.17,32700.27
4.7670,28.0768,-3351.05,8318.47,-648.75,-14601.12,21161.77,17567.63
4.7770,31.3327,-3256.10,8318.47,-859.68,-2876.29,-6594.97,-1703.42
4.7870,40.3949,-3256.10,9103.62,-859.68,5584.89,13552.79,12274.98
4.7970,41.9294,-3955.45,9893.82,-2384.69,-6752.86,14371.65,-8484.71
4.8080,51.2775,-3437.18,9387.52,-2384.69,-1364.11,6518.48,6915.65
4.8180,55.1122,-3064.73,9601.76,-1395.65,-1574.95,10815.75,2560.52
4.8280,60.2325,-4527.85,9071.75,-2377.06,-10380.34,6068.36,-6302.73
4.8380,63.9847,-4033.77,9071.75,-2735.22,-2057.44,16022.10,-4167.83
4.8480,68.0393,-5529.81,9633.43,-1741.19,-11513.99,12816.31,2234.94
4.8590,72.0745,-4973.22,9325.50,-1885.83,-2746.84,7580.54,-2464.41
4.8690,74.5841,-4475.38,9483.72,-1889.56,-2484.02,10380.34,-1904.45
4.8790,78.0418,-5337.66,9483.72,-590.02,-8786.76,17534.29,4608.14
4.8890,87.1403,-5981.39,9595.27,-2049.31,-8556.30,10227.36,-7886.51
4.9000,85.7392,-4430.89,9595.27,-1256.60,1771.08,1856.40,1914.26
4.9100,85.9974,-4109.38,9934.86,-1584.26,-2823.33,11859.18,-2894.92
4.9200,87.3751,-4104.99,10152.46,-802.18,-4087.41,11385.52,2326.14
4.9300,89.7676,-4132.07,10083.96,-1097.36,-4240.40,9695.83,-2278.08
4.9410,94.0253,-3663.60,9447.20,-285.37,-1789.71,5838.88,2962.59
4.9510,95.9557,-3702.27,9715.59,-122.98,-3856.96,11236.46,526.62
4.9610,97.5799,-3148.53,9641.58,-251.56,-933.59,9222.17,-765.90
4.9710,99.3469,-3340.04,9482.46,-569.78,-4106.04,8580.82,-1842.67
4.9820,101.1508,-3215.71,9628.62,89.82,-2718.40,10456.83,2728.21
4.9920,99.7045,-3067.41,9216.52,369.58,-2474.22,6881.33,1488.65
5.0020,101.3381,-3380.46,9379.62,256.44,-4632.66,10303.85,-196.13
5.0120,102.9647,-3177.25,9778.77,295.18,-2364.38,12040.60,450.13
5.0230,105.9512,-3068.22,9221.47,401.68,-2632.10,6063.45,827.68
5.0330,106.7608,-2667.97,9640.81,242.89,-1066.96,12017.07,-392.27
5.0430,106.3406,-2694.33,9503.29,828.02,-2799.80,8724.00,3168.53
5.0530,106.5294,-2690.52,9710.16,792.65,-2675.25,10882.44,651.16
5.0640,106.2625,-1918.82,9508.40,111.62,1167.97,8365.07,-2612.49
5.0750,107.4197,-1640.38,9520.04,14.57,-526.62,9586.00,-373.63
5.0850,107.4528,-1225.22,9738.08,-612.44,435.42,10973.64,-3120.48
5.0950,106.7409,-1033.72,9576.70,138.85,-267.72,8662.21,3144.01
5.1060,105.8646,-930.34,9736.67,-137.81,-516.81,10643.16,-1244.46
5.1160,105.7552,-679.15,10210.09,-452.89,325.58,12892.80,-1713.22
